2020-02-23 23:47:20.280  INFO 10201 --- [main] i.g.j.registry.JHipsterRegistryApp       : The following profiles are active: composite,dev,swagger
2020-02-23 23:47:22.653  WARN 10201 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-02-23 23:47:22.758  WARN 10201 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
2020-02-23 23:47:24.920 DEBUG 10201 --- [main] i.m.c.u.i.logging.InternalLoggerFactory  : Using SLF4J as the default logging framework
2020-02-23 23:47:26.766 DEBUG 10201 --- [main] i.g.j.registry.config.WebConfigurer      : Registering CORS filter
2020-02-23 23:47:26.828  INFO 10201 --- [main] i.g.j.registry.config.WebConfigurer      : Web application configuration, using profiles: composite
2020-02-23 23:47:26.832  INFO 10201 --- [main] i.g.j.registry.config.WebConfigurer      : Web application fully configured
2020-02-23 23:47:27.555  INFO 10201 --- [main] i.g.j.r.security.jwt.TokenProvider       : The JWT key used is not Base64-encoded. We recommend using the `jhipster.security.authentication.jwt.base64-secret` key for optimum security.
2020-02-23 23:47:28.577 DEBUG 10201 --- [main] i.g.j.r.config.AsyncConfiguration        : Creating Async Task Executor
2020-02-23 23:47:29.553 DEBUG 10201 --- [main] i.g.j.c.apidoc.SwaggerAutoConfiguration  : Starting Swagger
2020-02-23 23:47:29.568 DEBUG 10201 --- [main] i.g.j.c.apidoc.SwaggerAutoConfiguration  : Started Swagger in 14 ms
2020-02-23 23:47:29.987  WARN 10201 --- [main] ockingLoadBalancerClientRibbonWarnLogger : You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-02-23 23:47:30.577  INFO 10201 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2020-02-23 23:47:30.579  INFO 10201 --- [main] com.netflix.discovery.DiscoveryClient    : Client configured to neither register nor query for data.
2020-02-23 23:47:30.592  INFO 10201 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1582501650590 with initial instances count: 0
2020-02-23 23:47:30.815 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:cf08e5c0816a5ad427ff0eb271859d0, Subject:CN=SecureTrust CA, O=SecureTrust Corporation, C=US, Issuer:CN=SecureTrust CA, O=SecureTrust Corporation, C=US, Key type:RSA, Length:2048, Cert Id:2034155325, Valid from:11/7/06, 7:31 PM, Valid until:12/31/29, 7:40 PM
2020-02-23 23:47:30.820 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:2, Subject:CN=Buypass Class 3 Root CA, O=Buypass AS-983163327, C=NO, Issuer:CN=Buypass Class 3 Root CA, O=Buypass AS-983163327, C=NO, Key type:RSA, Length:4096, Cert Id:1264269967, Valid from:10/26/10, 8:28 AM, Valid until:10/26/40, 8:28 AM
2020-02-23 23:47:30.824 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withECDSA, Serial:66c9fd5749736663f3b0b9ad9e89e7603f24a, Subject:CN=Amazon Root CA 3, O=Amazon, C=US, Issuer:CN=Amazon Root CA 3, O=Amazon, C=US, Key type:EC, Length:256, Cert Id:-1562287523, Valid from:5/26/15, 12:00 AM, Valid until:5/26/40, 12:00 AM
2020-02-23 23:47:30.827 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:78585f2ead2c194be3370735341328b596d46593, Subject:CN=QuoVadis Root CA 1 G3, O=QuoVadis Limited, C=BM, Issuer:CN=QuoVadis Root CA 1 G3, O=QuoVadis Limited, C=BM, Key type:RSA, Length:4096, Cert Id:-762436034, Valid from:1/12/12, 5:27 PM, Valid until:1/12/42, 5:27 PM
2020-02-23 23:47:30.830 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:0, Subject:OU=Go Daddy Class 2 Certification Authority, O="The Go Daddy Group, Inc.", C=US, Issuer:OU=Go Daddy Class 2 Certification Authority, O="The Go Daddy Group, Inc.", C=US, Key type:RSA, Length:2048, Cert Id:-271444299, Valid from:6/29/04, 5:06 PM, Valid until:6/29/34, 5:06 PM
2020-02-23 23:47:30.832 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:75622a4e8d48a894df413c8f0f8eaa5, Subject:CN=Secure Global CA, O=SecureTrust Corporation, C=US, Issuer:CN=Secure Global CA, O=SecureTrust Corporation, C=US, Key type:RSA, Length:2048, Cert Id:-1476772975, Valid from:11/7/06, 7:42 PM, Valid until:12/31/29, 7:52 PM
2020-02-23 23:47:30.834 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:2ac5c266a0b409b8f0b79f2ae462577, Subject:CN=DigiCert High Assurance EV Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US, Issuer:CN=DigiCert High Assurance EV Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US, Key type:RSA, Length:2048, Cert Id:-1410680354, Valid from:11/10/06, 12:00 AM, Valid until:11/10/31, 12:00 AM
2020-02-23 23:47:30.835 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:413d72c7f46b1f81437df1d22854df9a, Subject:CN=OISTE WISeKey Global Root GA CA, OU=OISTE Foundation Endorsed, OU=Copyright (c) 2005, O=WISeKey, C=CH, Issuer:CN=OISTE WISeKey Global Root GA CA, OU=OISTE Foundation Endorsed, OU=Copyright (c) 2005, O=WISeKey, C=CH, Key type:RSA, Length:2048, Cert Id:-1985989675, Valid from:12/11/05, 4:03 PM, Valid until:12/11/37, 4:09 PM
2020-02-23 23:47:30.838 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:49412ce40010, Subject:CN=NetLock Arany (Class Gold) Főtanúsítvány, OU=Tanúsítványkiadók (Certification Services), O=NetLock Kft., L=Budapest, C=HU, Issuer:CN=NetLock Arany (Class Gold) Főtanúsítvány, OU=Tanúsítványkiadók (Certification Services), O=NetLock Kft., L=Budapest, C=HU, Key type:RSA, Length:2048, Cert Id:58541246, Valid from:12/11/08, 3:08 PM, Valid until:12/6/28, 3:08 PM
2020-02-23 23:47:30.842 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:0, Subject:CN=Hellenic Academic and Research Institutions RootCA 2011, O=Hellenic Academic and Research Institutions Cert. Authority, C=GR, Issuer:CN=Hellenic Academic and Research Institutions RootCA 2011, O=Hellenic Academic and Research Institutions Cert. Authority, C=GR, Key type:RSA, Length:2048, Cert Id:-1841489473, Valid from:12/6/11, 1:49 PM, Valid until:12/1/31, 1:49 PM
2020-02-23 23:47:30.845 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA384withECDSA, Serial:3cb2f4480a00e2feeb243b5e603ec36b, Subject:CN=GeoTrust Primary Certification Authority - G2, OU=(c) 2007 GeoTrust Inc. - For authorized use only, O=GeoTrust Inc., C=US, Issuer:CN=GeoTrust Primary Certification Authority - G2, OU=(c) 2007 GeoTrust Inc. - For authorized use only, O=GeoTrust Inc., C=US, Key type:EC, Length:384, Cert Id:-1114303822, Valid from:11/5/07, 12:00 AM, Valid until:1/18/38, 11:59 PM
2020-02-23 23:47:30.847 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:7dd9fe07cfa81eb7107967fba78934c6, Subject:OU=VeriSign Trust Network, OU="(c) 1998 VeriSign, Inc. - For authorized use only", OU=Class 3 Public Primary Certification Authority - G2, O="VeriSign, Inc.", C=US, Issuer:OU=VeriSign Trust Network, OU="(c) 1998 VeriSign, Inc. - For authorized use only", OU=Class 3 Public Primary Certification Authority - G2, O="VeriSign, Inc.", C=US, Key type:RSA, Length:1024, Cert Id:-11071679, Valid from:5/18/98, 12:00 AM, Valid until:8/1/28, 11:59 PM
2020-02-23 23:47:30.850 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:15ac6e9419b2794b41f627a9c3180f1f, Subject:CN=GeoTrust Primary Certification Authority - G3, OU=(c) 2008 GeoTrust Inc. - For authorized use only, O=GeoTrust Inc., C=US, Issuer:CN=GeoTrust Primary Certification Authority - G3, OU=(c) 2008 GeoTrust Inc. - For authorized use only, O=GeoTrust Inc., C=US, Key type:RSA, Length:2048, Cert Id:-1330153758, Valid from:4/2/08, 12:00 AM, Valid until:12/1/37, 11:59 PM
2020-02-23 23:47:30.852 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:b931c3ad63967ea6723bfc3af9af44b, Subject:CN=DigiCert Assured ID Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US, Issuer:CN=DigiCert Assured ID Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US, Key type:RSA, Length:2048, Cert Id:-385398383, Valid from:8/1/13, 12:00 PM, Valid until:1/15/38, 12:00 PM
2020-02-23 23:47:30.856 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:a7ea6df4b449eda6a24859ee6b815d3167fbbb1, Subject:CN=LuxTrust Global Root 2, O=LuxTrust S.A., C=LU, Issuer:CN=LuxTrust Global Root 2, O=LuxTrust S.A., C=LU, Key type:RSA, Length:4096, Cert Id:-1239330694, Valid from:3/5/15, 1:21 PM, Valid until:3/5/35, 1:21 PM
2020-02-23 23:47:30.858 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:1, Subject:CN=T-TeleSec GlobalRoot Class 2, OU=T-Systems Trust Center, O=T-Systems Enterprise Services GmbH, C=DE, Issuer:CN=T-TeleSec GlobalRoot Class 2, OU=T-Systems Trust Center, O=T-Systems Enterprise Services GmbH, C=DE, Key type:RSA, Length:2048, Cert Id:-1238464039, Valid from:10/1/08, 10:40 AM, Valid until:10/1/33, 11:59 PM
2020-02-23 23:47:30.860 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:0, Subject:OU=Starfield Class 2 Certification Authority, O="Starfield Technologies, Inc.", C=US, Issuer:OU=Starfield Class 2 Certification Authority, O="Starfield Technologies, Inc.", C=US, Key type:RSA, Length:2048, Cert Id:1825617644, Valid from:6/29/04, 5:39 PM, Valid until:6/29/34, 5:39 PM
2020-02-23 23:47:30.862 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:cbe, Subject:CN=TWCA Global Root CA, OU=Root CA, O=TAIWAN-CA, C=TW, Issuer:CN=TWCA Global Root CA, OU=Root CA, O=TAIWAN-CA, C=TW, Key type:RSA, Length:4096, Cert Id:861175838, Valid from:6/27/12, 6:28 AM, Valid until:12/31/30, 3:59 PM
2020-02-23 23:47:30.864 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA384withECDSA, Serial:6e47a9c88b94b6e8bb3b2ad8a2b2c199, Subject:CN=GTS Root R4, O=Google Trust Services LLC, C=US, Issuer:CN=GTS Root R4, O=Google Trust Services LLC, C=US, Key type:EC, Length:384, Cert Id:-1824562466, Valid from:6/22/16, 12:00 AM, Valid until:6/22/36, 12:00 AM
2020-02-23 23:47:30.866 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:b0b75a16485fbfe1cbf58bd719e67d, Subject:CN=Izenpe.com, O=IZENPE S.A., C=ES, Issuer:CN=Izenpe.com, O=IZENPE S.A., C=ES, Key type:RSA, Length:4096, Cert Id:-1845580984, Valid from:12/13/07, 1:08 PM, Valid until:12/13/37, 8:27 AM
2020-02-23 23:47:30.868 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:98968d, Subject:CN=Staat der Nederlanden EV Root CA, O=Staat der Nederlanden, C=NL, Issuer:CN=Staat der Nederlanden EV Root CA, O=Staat der Nederlanden, C=NL, Key type:RSA, Length:4096, Cert Id:1444801426, Valid from:12/8/10, 11:19 AM, Valid until:12/8/22, 11:10 AM
2020-02-23 23:47:30.870 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:5d938d306736c8061d1ac754846907, Subject:OU=AC RAIZ FNMT-RCM, O=FNMT-RCM, C=ES, Issuer:OU=AC RAIZ FNMT-RCM, O=FNMT-RCM, C=ES, Key type:RSA, Length:4096, Cert Id:1555523573, Valid from:10/29/08, 3:59 PM, Valid until:1/1/30, 12:00 AM
2020-02-23 23:47:30.872 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:83be056904246b1a1756ac95991c74a, Subject:CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US, Issuer:CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US, Key type:RSA, Length:2048, Cert Id:1341898239, Valid from:11/10/06, 12:00 AM, Valid until:11/10/31, 12:00 AM
